"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","07-Aug-2020","        609.65","        610.10","        616.50","        598.70","        602.60","        600.45","        606.44","    7679209","          4656960659.00","     101527"
"M&amp;M","EQ","10-Aug-2020","        600.45","        605.00","        640.80","        605.00","        629.90","        628.90","        630.50","   12341776","          7781474713.90","     158333"
"M&amp;M","EQ","11-Aug-2020","        628.90","        630.00","        640.60","        622.40","        630.20","        629.55","        629.30","    5128839","          3227558254.70","      70505"
"M&amp;M","EQ","12-Aug-2020","        629.55","        628.00","        648.60","        624.35","        634.30","        634.95","        639.82","    8891691","          5689090439.55","     143960"
"M&amp;M","EQ","13-Aug-2020","        634.95","        635.15","        645.30","        628.40","        634.00","        631.45","        638.11","    5773589","          3684203490.70","      81306"
"M&amp;M","EQ","14-Aug-2020","        631.45","        634.00","        637.85","        607.55","        610.80","        614.45","        624.74","    3623116","          2263492751.20","      56836"
"M&amp;M","EQ","17-Aug-2020","        614.45","        628.00","        632.00","        613.80","        623.50","        623.60","        624.06","    5687653","          3549463436.60","      80790"
"M&amp;M","EQ","18-Aug-2020","        623.60","        625.00","        632.75","        618.60","        623.50","        622.65","        624.66","    3989513","          2492102343.70","      56819"
"M&amp;M","EQ","19-Aug-2020","        622.65","        627.00","        631.90","        622.00","        623.90","        623.90","        626.15","    2762496","          1729733683.00","      37666"
"M&amp;M","EQ","20-Aug-2020","        623.90","        620.00","        623.00","        610.00","        612.80","        612.05","        615.00","    3165828","          1946977516.60","      57780"
"M&amp;M","EQ","21-Aug-2020","        612.05","        620.00","        620.95","        608.00","        610.80","        609.80","        612.78","    4191443","          2568445864.70","      61667"
"M&amp;M","EQ","24-Aug-2020","        609.80","        613.00","        615.70","        601.00","        602.60","        601.95","        604.98","    3708069","          2243320193.50","      58046"
"M&amp;M","EQ","25-Aug-2020","        601.95","        605.00","        612.40","        601.50","        611.60","        609.35","        606.78","    4248591","          2577975659.85","      74269"
